CityName,Name,HotelName1,HotelName2,HotelName3,HotelName4,HotelName5
,India Gate,Pearl India Suites,Royal India Villa,Bliss India Heritage,Emerald India Lodge,Pearl India Palace
,Humayun's Tomb,Luxury Humayun's Resort,Bliss India Palace,Classic India Retreat,Valley India Suites,Luxury India Heritage
,Akshardham Temple,Silver India Inn,Golden Akshardham Collection,Heritage Akshardham Suites,Majestic Akshardham Retreat,Blue India Suites
,Waste to Wonder Park,Majestic India Heritage,Pearl Waste Grand Hotel,Royal Waste Retreat,Crystal India Heritage,Pearl Waste Grand Hotel
,Jantar Mantar,Heritage Jantar Heritage,Bliss Jantar Inn,Pearl India Stay,Silver Jantar Retreat,Silver India Residency
,Chandni Chowk,Sunset Chandni Heritage,Classic Chandni Cottages,Valley Chandni Inn,Maple India Retreat,Majestic Chandni Lodge
,Lotus Temple,Royal Lotus Resort,Emerald Lotus Residency,Heritage India Villa,Maple Lotus Suites,Classic India Palace
,Red Fort,Classic India Villa,Maple Red Palace,Silver India Lodge,Sunset India Inn,Golden India Villa
,Agrasen ki Baoli,Blue India Retreat,Serene India Palace,Majestic India Villa,Sunset India Villa,Golden India Villa
,Sunder Nursery,Majestic India Palace,Heritage Sunder Suites,Blue Sunder Haven,Bliss India Retreat,Royal India Residency
,Garden of Five Senses,Luxury India Suites,Luxury India Heritage,Bliss Garden Heritage,Majestic India Heritage,Sunset India Lodge
,Lodhi Garden,Serene Lodhi Cottages,Classic Lodhi Collection,Luxury India Palace,Serene Lodhi Collection,Silver India Lodge
,National Gallery of Modern Art,Blue India Residency,Heritage National Palace,Majestic National Suites,Heritage India Heritage,Sunset National Inn
,National Zoological Park,Silver India Suites,Sunset India Retreat,Maple India Suites,Sunset National Palace,Emerald National Grand Hotel
,Qutub Minar,Luxury Qutub Retreat,Royal India Palace,Sunset India Stay,Royal India Lodge,Royal Qutub Palace
,National Science Centre,Pearl India Palace,Sunset National Collection,Crystal National Resort,Emerald National Cottages,Serene National Palace
,Marine Drive,Classic India Inn,Maple India Residency,Maple India Inn,Serene Marine Villa,Luxury India Stay
,Gateway of India,Classic India Villa,Maple India Heritage,Crystal India Villa,Blue India Heritage,Crystal India Villa
,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Sunset Chhatrapati Palace,Valley Chhatrapati Grand Hotel,Silver India Residency,Blue India Stay,Heritage Chhatrapati Inn
,Sanjay Gandhi National Park,Heritage India Lodge,Maple India Suites,Maple India Inn,Crystal India Retreat,Sunset Sanjay Heritage
,Siddhivinayak Temple,Silver India Residency,Heritage India Retreat,Majestic India Lodge,Heritage Siddhivinayak Heritage,Sunset Siddhivinayak Cottages
,Mahalaxmi Temple,Classic Mahalaxmi Haven,Blue India Retreat,Sunset Mahalaxmi Heritage,Blue Mahalaxmi Palace,Luxury India Retreat
,Haji Ali Dargah,Sunset India Retreat,Classic India Retreat,Maple Haji Inn,Heritage Haji Suites,Sunset India Palace
,Chowpatty Beach,Emerald India Palace,Serene Chowpatty Villa,Golden India Suites,Golden Chowpatty Grand Hotel,Blue India Palace
,Essel World,Maple Essel Residency,Silver India Residency,Golden India Residences,Maple Essel Suites,Majestic India Lodge
,Elephanta Caves,Golden Elephanta Collection,Heritage India Suites,Royal India Inn,Heritage Elephanta Cottages,Emerald Elephanta Grand Hotel
,Imagicaa,Emerald Imagicaa Inn,Majestic Imagicaa Palace,Sunset Imagicaa Retreat,Pearl Imagicaa Grand Hotel,Silver Imagicaa Suites
,Bangalore Palace,Maple India Palace,Classic Bangalore Grand Hotel,Maple India Inn,Royal India Villa,Blue India Villa
,Lalbagh Botanical Garden,Luxury India Inn,Sunset Lalbagh Suites,Emerald Lalbagh Heritage,Silver Lalbagh Grand Hotel,Valley Lalbagh Grand Hotel
,Cubbon Park,Golden India Villa,Blue India Residency,Royal India Villa,Silver India Stay,Pearl Cubbon Grand Hotel
,Vidhana Soudha,Classic India Heritage,Royal India Heritage,Royal Vidhana Resort,Serene Vidhana Palace,Maple Vidhana Villa
,ISKCON Temple Bangalore,Luxury India Villa,Pearl India Villa,Pearl ISKCON Residency,Maple India Heritage,Classic ISKCON Collection
,Charminar,Crystal India Stay,Maple Charminar Inn,Golden India Lodge,Golden Charminar Collection,Silver India Villa
,Golconda Fort,Silver Golconda Resort,Valley Golconda Lodge,Valley Golconda Residency,Crystal India Stay,Maple India Inn
